name,marktwert,source,team
Patrice Evra,1,http://www.transfermarkt.com/france/startseite/verein/3377,Frankreich
Artur Boruc,1,http://www.transfermarkt.com/poland/startseite/verein/3442,Polen
Krzysztof Maczynski,1,http://www.transfermarkt.com/poland/startseite/verein/3442,Polen
Filip Starzynski,1,http://www.transfermarkt.com/poland/startseite/verein/3442,Polen
Hakan Balta,1,http://www.transfermarkt.com/turkey/startseite/verein/3381,Türkei
Emre Mor,1,http://www.transfermarkt.com/turkey/startseite/verein/3381,Türkei
Steve von Bergen,1,http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
Aleksey Berezutski,1,http://www.transfermarkt.com/russia/startseite/verein/3448,Russland
Roman Shirokov,1,http://www.transfermarkt.com/russia/startseite/verein/3448,Russland
Dmitri Torbinski,1,http://www.transfermarkt.com/russia/startseite/verein/3448,Russland
Robert Almer,1,http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
Heinz Lindner,1,http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
Ruslan Rotan,1,http://www.transfermarkt.com/ukraine/startseite/verein/3699,Ukraine
Darren Randolph,1,http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
John O'Shea,1,http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Stephen Ward,1,http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Cyrus Christie,1,http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Robbie Keane,1,http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Daryl Murphy,1,http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Emir Kujovic,1,http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Matús Kozácik,1,http://www.transfermarkt.com/slovakia/startseite/verein/3503,Slowakei
Tomas Koubek,1,http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Jaroslav Plasil,1,http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Tomás Rosicky,1,http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
David Lafata,1,http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Alexandru Matel,1,http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Cristian Sapunaru,1,http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Mihai Pintilii,1,http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Lorik Cana,1,http://www.transfermarkt.com/albania/startseite/verein/3561,Albanien
Gareth McAuley,1,http://www.transfermarkt.com/northern-ireland/startseite/verein/5674,Nordirland
Roland Juhász,1,http://www.transfermarkt.com/hungary/startseite/verein/3468,Ungarn
Ádám Nagy,1,http://www.transfermarkt.com/hungary/startseite/verein/3468,Ungarn
Oleksandr Kucher,"1,2",http://www.transfermarkt.com/ukraine/startseite/verein/3699,Ukraine
Andreas Isaksson,"1,2",http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Dénes Dibusz,"1,2",http://www.transfermarkt.com/hungary/startseite/verein/3468,Ungarn
David Vaughan,"1,25",http://www.transfermarkt.com/wales/startseite/verein/3864,Wales
Ramazan Özcan,"1,25",http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
David Limbersky,"1,25",http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Cosmin Moti,"1,25",http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Steliano Filip,"1,25",http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Ermir Lenjani,"1,25",http://www.transfermarkt.com/albania/startseite/verein/3561,Albanien
Corry Evans,"1,25",http://www.transfermarkt.com/northern-ireland/startseite/verein/5674,Nordirland
Rubin Okotie,"1,3",http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
Pontus Jansson,"1,3",http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Zoltán Stieber,"1,3",http://www.transfermarkt.com/hungary/startseite/verein/3468,Ungarn
Michal Kadlec,"1,4",http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Krisztián Németh,"1,4",http://www.transfermarkt.com/hungary/startseite/verein/3468,Ungarn
Eduardo,"1,5",http://www.transfermarkt.com/portugal/startseite/verein/3300,Portugal
Gordon Schildenfeld,"1,5",http://www.transfermarkt.com/croatia/startseite/verein/3556,Kroatien
Tomasz Jodlowiec,"1,5",http://www.transfermarkt.com/poland/startseite/verein/3442,Polen
Mariusz Stepinski,"1,5",http://www.transfermarkt.com/poland/startseite/verein/3442,Polen
François Moubandje,"1,5",http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
Danny Ward,"1,5",http://www.transfermarkt.com/wales/startseite/verein/3864,Wales
Markus Suttner,"1,5",http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
