result,spieler,matchesplayed,minutesplayed,team,land,q,gebdat,pos,laenderspiele,laenderspieltore,quelle,tore,assists,attemptsontarget,attemptsofftarget,attemptsblocked,foulscommited,foulssuffered,yellowcards,passes,passescomplete
1,Robert Lewandowski,10,876,Poland,Polen,q,32376,Angriff,76,34,http://www.uefa.com/uefaeuro/season=2016/teams/player=250002096/index.html,13,4,25,9,8,17,26,1,221,182
2,Zlatan Ibrahimović,10,814,Sweden,Schweden,q,29862,Angriff,113,62,http://www.uefa.com/uefaeuro/season=2016/teams/player=59217/index.html,11,1,20,15,10,18,18,2,294,226
3,Thomas Müller,9,806,Germany,Deutschland,q,32764,Angriff,71,32,http://www.uefa.com/uefaeuro/season=2016/teams/player=250003318/index.html,9,2,18,15,6,9,6,1,382,311
5,Edin Džeko,9,788,Bosnia and Herzegovina,Bosnien,nq,31488,Angriff,79,46,http://www.uefa.com/uefaeuro/season=2016/teams/player=72048/index.html,8,0,13,17,8,8,17,3,183,142
4,Artem Dzyuba,8,581,Russia,Russland,q,32377,Angriff,18,9,http://www.uefa.com/uefaeuro/season=2016/teams/player=97787/index.html,8,2,14,9,3,11,8,0,104,85
10,Gareth Bale,10,897,Wales,Wales,q,32705,Angriff,55,19,http://www.uefa.com/uefaeuro/season=2016/teams/player=102225/index.html,7,2,24,21,7,5,21,1,233,181
6,Wayne Rooney,8,669,England,England,q,31344,Angriff,111,52,http://www.uefa.com/uefaeuro/season=2016/teams/player=63891/index.html,7,1,23,16,5,10,8,0,214,181
9,Steven Fletcher,10,789,Scotland,Schottland,nq,31862,Angriff,28,8,http://www.uefa.com/uefaeuro/season=2016/teams/player=73894/index.html,7,2,12,13,5,10,17,0,175,138
7,Marc Janko,9,675,Austria,Österreich,q,30492,Angriff,54,25,http://www.uefa.com/uefaeuro/season=2016/teams/player=59688/index.html,7,2,12,9,3,18,7,1,86,71
8,Kyle Lafferty,9,752,Northern Ireland,Nordirland,q,32036,Angriff,51,17,http://www.uefa.com/uefaeuro/season=2016/teams/player=92995/index.html,7,1,13,11,4,23,25,3,99,83
11,Danny Welbeck,5,403,England,England,q,33203,Angriff,34,14,http://www.uefa.com/uefaeuro/season=2016/teams/player=1901680/index.html,6,1,10,4,4,6,8,0,153,130
14,Ivan Perišić,9,779,Croatia,Kroatien,q,32541,Mittelfeld,47,13,http://www.uefa.com/uefaeuro/season=2016/teams/player=103310/index.html,6,3,11,10,2,7,5,3,232,193
15,Gylfi Sigurdsson,10,889,Iceland,Island,q,32759,Mittelfeld,39,13,http://www.uefa.com/uefaeuro/season=2016/teams/player=102293/index.html,6,3,11,10,9,8,17,1,447,399
